rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
147,10087,Fate/Zero,TV,13,2011,724377,8.43
148,6594,Katanagatari,TV,12,2010,309978,8.43
149,11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,2012,121978,8.43
150,37078,Quanzhi Gaoshou Specials,ONA,3,2018,40952,8.43
151,2559,Romeo no Aoi Sora,TV,33,1995,24457,8.43
152,12531,Sakamichi no Apollon,TV,12,2012,207736,8.43
153,34036,Detective Conan: Episode One - The Great Detective Turned Small,Special,1,2016,12727,8.42
154,3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,2009,253605,8.42
155,486,Kino no Tabi: The Beautiful World,TV,13,2003,159375,8.42
156,18115,Magi: The Kingdom of Magic,TV,25,2013,411430,8.42
157,5341,Ookami to Koushinryou II,TV,12,2009,294962,8.42
158,25835,Shirobako,TV,24,2014,247007,8.42
159,10863,Steins;Gate: Oukoubakko no Poriomania,Special,1,2012,243498,8.42
160,5,Cowboy Bebop: Tengoku no Tobira,Movie,1,2001,195275,8.41
161,37105,Grand Blue,TV,12,2018,136800,8.41
162,5420,Kemono no Souja Erin,TV,50,2009,52859,8.41
163,34240,Shelter,OVA,2,2014,179692,8.41
165,37430,Tensei shitara Slime Datta Ken,TV,24,2015,63155,8.4
167,30346,Doukyuusei (Movie),Movie,1,2016,75948,8.4
168,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,2014,45072,8.4
169,1698,Nodame Cantabile,TV,23,2007,210575,8.4
170,30503,Noragami Aragoto,TV,13,2015,615799,8.4
171,31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2016,815015,8.4
172,1365,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,2002,41177,8.39
173,28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2015,373172,8.39
174,18617,Girls &amp;amp; Panzer Movie,Movie,1,2015,51482,8.39
175,14719,JoJo no Kimyou na Bouken (TV),TV,26,2012,402435,8.39
176,4081,Natsume Yuujinchou,TV,13,2008,305775,8.39
177,19815,No Game No Life,TV,12,2014,1074522,8.39
178,5040,One Outs,TV,25,2008,126743,8.39
179,45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1996,293509,8.39
180,2685,Tsubasa: Tokyo Revelations,OVA,3,2007,69775,8.39
181,137,Hunter x Hunter: Yorkshin City Kanketsu-hen,OVA,8,2002,73043,8.38
182,34534,Natsume Yuujinchou Go Specials,Special,2,2017,19204,8.38
183,2418,Stranger: Mukou Hadan,Movie,1,2007,188966,8.38
184,513,Tenkuu no Shiro Laputa,Movie,1,1986,222572,8.38
185,4224,Toradora!,TV,25,2008,990414,8.38
186,36946,Dragon Ball Super Movie: Broly,Movie,1,2018,37489,8.37
187,139,Hunter x Hunter: Greed Island Final,OVA,14,2004,77545,8.37
