rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
343,30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,2016,672682,8.1
345,35857,Lupin III: Part 5,TV,24,2018,15414,8.1
347,35838,Shoujo Shuumatsu Ryokou,TV,12,2017,134608,8.1
349,25013,Akatsuki no Yona,TV,24,2014,373357,8.1
350,1974,Glass no Kamen (2005),TV,51,2005,23565,8.1
351,731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,TV,13,2017,411157,8.1
353,3927,Mobile Suit Gundam 00 Second Season,TV,25,2008,106801,8.1
358,135,Hikaru no Go,TV,75,2001,88724,8.1
359,186,Initial D Second Stage,TV,13,1999,81615,8.1
361,2034,Lovely★Complex,TV,24,2007,320805,8.1
362,1914,Saiunkoku Monogatari 2nd Season,TV,39,2007,28678,8.1
367,27663,Baby Steps 2nd Season,TV,25,2015,56207,8.1
370,16918,Gin no Saji,TV,11,2013,171310,8.1
372,12189,Hyouka,TV,22,2012,582249,8.1
373,15059,Initial D Fifth Stage,TV,14,2012,52712,8.1
374,1486,Kodomo no Omocha (TV),TV,102,1996,36765,8.1
376,31174,Osomatsu-san,TV,25,2015,104919,8.1
378,32995,Yuri!!! on Ice,TV,12,2016,313790,8.1
380,1482,D.Gray-man,TV,103,2006,448058,8.1
381,2164,Dennou Coil,TV,26,2007,100899,8.1
382,223,Dragon Ball,TV,153,1986,483683,8.1
383,72,Full Metal Panic? Fumoffu,TV,12,2003,214378,8.1
386,7791,K-On!!,TV,26,2010,346574,8.1
388,237,Koukyoushihen Eureka Seven,TV,50,2005,323014,8.1
389,20507,Noragami,TV,12,2014,940334,8.1
392,6211,Tokyo Magnitude 8.0,TV,11,2009,172681,8.1
398,23289,Gekkan Shoujo Nozaki-kun,TV,12,2014,455019,8.1
400,14713,Kamisama Hajimemashita,TV,13,2012,288576,8.1
401,302,Mirai Shounen Conan,TV,26,1978,24441,8.1
402,30015,ReLIFE,TV,13,2016,444204,8.1
403,36474,Sword Art Online: Alicization,TV,13,2015,136706,8.1
405,32615,Youjo Senki,TV,12,2017,301032,8.1
406,31173,Akagami no Shirayuki-hime 2nd Season,TV,12,2016,153489,8.1
407,889,Black Lagoon,TV,12,2006,484355,8.1
410,589,Ginga Nagareboshi Gin,TV,21,1986,15305,8.1
412,16,Hachimitsu to Clover,TV,24,2005,170726,8.1
414,4814,Junjou Romantica 2,TV,12,2008,113506,8.1
415,153,Juuni Kokuki,TV,45,2002,88108,8.1
416,6045,Kimi ni Todoke,TV,25,2009,448492,8.1
419,7720,Ookiku Furikabutte: Natsu no Taikai-hen,TV,13,2010,28753,8.1
423,4789,ef: A Tale of Melodies.,TV,12,2008,126866,8.1
424,2004,Hanada Shounen-shi,TV,25,2002,8807,8.1
425,21877,High Score Girl,TV,12,2018,43733,8.1
426,9656,Kimi ni Todoke 2nd Season,TV,12,2011,239646,8.1
429,31741,Magi: Sinbad no Bouken (TV),TV,13,2016,182076,8.1
432,535,Slayers Next,TV,26,1996,49372,8.1
433,16049,Toaru Kagaku no Railgun S,TV,24,2013,196129,8.1
434,1065,Touch,TV,101,1985,18740,8.1
435,1471,City Hunter 2,TV,63,1988,12172,8.1
436,23199,Durarara!!x2 Shou,TV,12,2015,282014,8.1
440,2076,Kindaichi Shounen no Jikenbo,TV,148,1997,14041,8.1
441,33489,Little Witch Academia (TV),TV,25,2017,274962,8.1
443,846,School Rumble Ni Gakki,TV,26,2006,113099,8.1
445,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,2013,575233,8.1
446,18179,Yowamushi Pedal,TV,38,2013,133932,8.1
447,14075,Zetsuen no Tempest,TV,24,2012,368766,8.1
449,22043,Fairy Tail (2014),TV,102,2014,447233,8.0
451,37989,Golden Kamuy 2nd Season,TV,12,2018,35683,8.0
453,1530,Kanon (2006),TV,24,2006,197410,8.0
456,10049,Nurarihyon no Mago: Sennen Makyou,TV,24,2011,104507,8.0
458,5682,Phantom: Requiem for the Phantom,TV,26,2009,214415,8.0
465,27831,Durarara!!x2 Ten,TV,12,2015,214348,8.0
467,934,Higurashi no Naku Koro ni,TV,26,2006,479592,8.0
