rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
176,4081,Natsume Yuujinchou,TV,13,2,305775,8.3
177,19815,No Game No Life,TV,12,2,1074522,8.3
178,5040,One Outs,TV,25,2,126743,8.3
179,45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1,293509,8.3
180,2685,Tsubasa: Tokyo Revelations,OVA,3,2,69775,8.3
181,137,Hunter x Hunter: Yorkshin City Kanketsu-hen,OVA,8,2,73043,8.3
182,34534,Natsume Yuujinchou Go Specials,Special,2,2,19204,8.3
183,2418,Stranger: Mukou Hadan,Movie,1,2,188966,8.3
184,513,Tenkuu no Shiro Laputa,Movie,1,1,222572,8.3
185,4224,Toradora!,TV,25,2,990414,8.3
186,36946,Dragon Ball Super Movie: Broly,Movie,1,2,37489,8.3
187,139,Hunter x Hunter: Greed Island Final,OVA,14,2,77545,8.3
188,627,Major S1,TV,26,2,58602,8.3
189,1210,NHK ni Youkoso!,TV,24,2,411792,8.3
190,36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2,212934,8.3
191,338,Versailles no Bara,TV,40,1,48577,8.3
192,57,Beck,TV,26,2,196471,8.3
193,6945,Gintama: Shiroyasha Koutan,Special,1,2,38802,8.3
194,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2,496090,8.3
195,1842,Major S3,TV,26,2,41635,8.3
196,5081,Bakemonogatari,TV,15,2,722111,8.3
197,264,Hajime no Ippo: Champion Road,Special,1,2,70170,8.3
198,15227,Kono Sekai no Katasumi ni,Movie,1,2,61899,8.3
199,11771,Kuroko no Basket,TV,25,2,524966,8.3
200,558,Major S2,TV,26,2,43257,8.3
201,437,Perfect Blue,Movie,1,1,206798,8.3
202,329,Planetes,TV,26,2,148860,8.3
203,37095,Violet Evergarden: Kitto &amp;quot;Koi&amp;quot; wo Shiru Hi ga Kuru no Darou,Special,1,2,61196,8.3
204,5460,Detective Conan Movie 13: The Raven Chaser,Movie,1,2,31918,8.3
205,43,Ghost in the Shell,Movie,1,1,359745,8.3
206,36296,Hinamatsuri,TV,12,2,176517,8.3
207,9617,K-On! Movie,Movie,1,2,162850,8.3
208,11843,Danshi Koukousei no Nichijou,TV,12,2,408244,8.3
209,19363,Gin no Saji 2nd Season,TV,11,2,93706,8.3
210,1889,Higurashi no Naku Koro ni Kai,TV,24,2,286663,8.3
211,5690,Nodame Cantabile Finale,TV,11,2,89704,8.3
212,2966,Ookami to Koushinryou,TV,13,2,473896,8.3
213,34537,Yoru wa Mijikashi Arukeyo Otome,Movie,1,2,38743,8.3
214,36649,Banana Fish,TV,24,2,102900,8.3
215,22297,Fate/stay night: Unlimited Blade Works,TV,12,2,465059,8.3
216,1142,Hachimitsu to Clover II,TV,12,2,75135,8.3
217,23317,Kuroshitsuji: Book of Murder,OVA,2,2,117926,8.3
218,30,Neon Genesis Evangelion,TV,26,1,704963,8.3
219,853,Ouran Koukou Host Club,TV,26,2,571280,8.3
220,6675,Redline,Movie,1,2,174211,8.3
221,35466,ReLIFE: Kanketsu-hen,Special,4,2,110467,8.3
222,9863,SKET Dance,TV,77,2,139168,8.3
223,32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,2,106792,8.3
224,2236,Toki wo Kakeru Shoujo,Movie,1,2,445898,8.3
225,34822,Tsuki ga Kirei,TV,12,2,200106,8.3
226,34798,Yuru Camp△,TV,12,2,147734,8.3
227,2402,Ashita no Joe,TV,79,1,34916,8.3
228,7674,Bakuman.,TV,25,2,357595,8.3
229,34636,Ballroom e Youkoso,TV,24,2,138505,8.3
230,36896,Boku no Hero Academia the Movie: Futari no Hero,Movie,1,2,103322,8.3
231,35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,2,67819,8.3
232,9735,Gintama: Shinyaku Benizakura-hen,Special,1,2,21800,8.3
233,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,2,164183,8.3
234,6811,InuYasha: Kanketsu-hen,TV,26,2,143811,8.3
235,22145,Kuroshitsuji: Book of Circus,TV,10,2,193343,8.3
236,18195,Little Busters!: Refrain,TV,13,2,102293,8.3
237,3226,Major S4,TV,26,2,39437,8.3
238,9890,Major: Message,OVA,1,2,18483,8.3
239,4155,One Piece Film: Strong World,Movie,1,2,123874,8.3
240,13759,Sakurasou no Pet na Kanojo,TV,24,2,606601,8.3
241,1033,Sennen Joyuu,Movie,1,2,87250,8.3
242,759,Tokyo Godfathers,Movie,1,2,135766,8.3
243,12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,1,2,108811,8.3
244,32867,Bungou Stray Dogs 2nd Season,TV,12,2,233481,8.3
245,813,Dragon Ball Z,TV,291,1,582201,8.3
246,138,Hunter x Hunter: Greed Island,OVA,8,2,79377,8.3
247,22507,Initial D Final Stage,TV,4,2,46288,8.3
248,16664,Kaguya-hime no Monogatari,Movie,1,2,83245,8.3
249,34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,2,314325,8.3
250,12859,One Piece Film: Z,Movie,1,2,120603,8.3
251,6,Trigun,TV,26,1,403895,8.3
252,3091,xxxHOLiC Kei,TV,13,2,94112,8.3
253,6547,Angel Beats!,TV,13,2,1089044,8.2
254,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,2,79375,8.2
255,31988,Hibike! Euphonium 2,TV,13,2,108146,8.2
256,185,Initial D First Stage,TV,26,1,131239,8.2
257,1604,Katekyo Hitman Reborn!,TV,203,2,353550,8.2
258,28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1,2,118142,8.2
259,512,Majo no Takkyuubin,Movie,1,1,235185,8.2
260,585,Mimi wo Sumaseba,Movie,1,1,141592,8.2
261,6864,xxxHOLiC Rou,OVA,2,2,46333,8.2
262,10800,Chihayafuru,TV,25,2,231248,8.2
263,121,Fullmetal Alchemist,TV,51,2,844575,8.2
264,6336,Mobile Suit Gundam Unicorn,OVA,7,2,57579,8.2
